source_id,phot_g_mean_mag,x  (pc),y (pc),z (pc),dx/dt (pc/1000 years),dy/dt (pc/1000 years),dz/dy (pc/1000 years)
3775585490834560,11.8433497,320.2229606,330.1580299,40.68927789,0.080824706,0.133914603,0.014644864
3797232126171520,10.58282827,254.1719432,259.5853801,33.40665967,-0.128472426,-0.127976831,-0.059746802
3800049624986750,11.359174,175.1586571,184.1271767,21.37065179,-0.073503062,-0.015504693,-0.032654572
3821112144185980,10.60708765,125.8082878,131.4411661,16.1692767,-0.12993266,-0.071103562,-0.09727577
3828258969764350,11.14881286,260.4813881,273.4496197,34.34899436,0.069380728,0.076991808,0.011862215
3829427200867960,10.75545553,148.2310677,156.2627969,19.75152345,0.15777622,0.125532923,-0.011179563
3830286194326270,11.48869386,129.0966218,136.1329941,17.27997953,-0.000727615,-0.03993033,-0.043077924
3835543234725500,11.328552,244.1145118,259.6605367,32.01589034,-0.00413035,0.024237988,-0.106272893
3836986343735800,11.75413138,159.1759244,169.3826796,21.15818673,0.021189073,0.054245698,-0.030897273
3840422317572350,10.9188938,136.9323874,145.2711459,18.28137684,0.010080694,-0.005594139,-0.015773
3847637862627580,11.20390735,306.3892417,328.4592776,42.38926754,0.032059125,0.062371532,0.001710157
